,east_utm48,north_utm48,z,strike_slip,dip_slip,net_slip,strike,dip
241,400453,3470746,3.2710553333802417,-6.0344148e-14,122.94651999999999,122.94651999999999,-137,25
242,394233,3464076,3.2710553333802417,-9.9097342e-13,45.671822,45.671822,-137,25
243,388014,3457407,3.2710553333802417,-8.76191,-8.208152299999999e-14,8.76191,-137,25
244,381795,3450737,3.2710553333802417,-128.42893999999998,-2.7910293e-13,128.42893999999998,-137,25
245,435720,3502432,1.3205094530707087,-6.666949499999999,5.702031900000001,8.772763727820774,-137,25
246,431721,3498144,1.3205094530707087,-2.3325386e-13,10.609301,10.609301,-137,25
247,427723,3493857,1.3205094530707087,-32.132277,44.972582,55.27220238918885,-137,25
248,423725,3489569,1.3205094530707087,-150.88253,108.53952,185.86652539129068,-137,25
249,419727,3485281,1.3205094530707087,-188.07144,161.03201,247.59275996747905,-137,25
250,415729,3480994,1.3205094530707087,-145.56265,344.48566,373.9770782022049,-137,25
251,411730,3476706,1.3205094530707087,-109.81709,326.43907,344.41582379230636,-137,25
252,407732,3472419,1.3205094530707087,-57.253128000000004,313.76104,318.9418612971116,-137,25
253,403734,3468131,1.3205094530707087,-5.7959482e-14,660.84882,660.84882,-137,25
254,399736,3463844,1.3205094530707087,-78.947916,618.44097,623.4597074513188,-137,25
255,395738,3459556,1.3205094530707087,-12.428613,354.77165,354.98928725361037,-137,25
256,391740,3455269,1.3205094530707087,1.6356040000000002e-13,355.30879,355.30879,-137,25
257,387741,3450981,1.3205094530707087,-130.96152,168.61766,213.5013699829254,-137,25
258,383743,3446694,1.3205094530707087,1.1851551999999998e-13,1.8735316e-13,2.2169153128357429e-13,-137,25
259,438426,3501244,0.020145561038904303,-2.6225186000000003,-1.4771283000000002e-12,2.6225186000000003,-137,25
260,435760,3498386,0.020145561038904303,1.9468811999999998e-12,-1.150024e-12,2.2611726178002067e-12,-137,25
261,433095,3495528,0.020145561038904303,1.8701142e-13,-1.1639712e-12,1.1788987342600111e-12,-137,25
262,430429,3492669,0.020145561038904303,2.2044928e-13,57.362963,57.362963,-137,25
263,427764,3489811,0.020145561038904303,-59.957814,127.4462,140.8455656174471,-137,25
264,425098,3486953,0.020145561038904303,-190.71749,195.96077,273.4479555068807,-137,25
265,422433,3484094,0.020145561038904303,-295.34994,175.48078999999998,343.54780557737183,-137,25
266,419767,3481236,0.020145561038904303,-170.174,452.68948,483.6186054926655,-137,25
267,417102,3478377,0.020145561038904303,-197.36796999999999,584.16242,616.6034775462894,-137,25
268,414436,3475519,0.020145561038904303,-180.50139,561.13117,589.4479974836636,-137,25
269,411771,3472661,0.020145561038904303,-148.05673000000002,497.39989,518.9676732420864,-137,25
270,409105,3469802,0.020145561038904303,-95.420799,467.02189000000004,476.6702997051217,-137,25
271,406440,3466944,0.020145561038904303,-75.111627,462.92588,468.9798789760191,-137,25
272,403774,3464086,0.020145561038904303,-53.566225,998.15173,999.5880234190201,-137,25
273,401109,3461227,0.020145561038904303,-29.424009,1104.7711,1105.1628638806328,-137,25
274,398444,3458369,0.020145561038904303,4.0884121e-13,498.50611,498.50611,-137,25
275,395778,3455511,0.020145561038904303,-0.61993533,344.59837999999996,344.59893763393666,-137,25
276,393113,3452652,0.020145561038904303,-16.074394,415.08544,415.3965679233049,-137,25
277,390447,3449794,0.020145561038904303,8.5700499e-13,1130.1447,1130.1447,-137,25
278,387782,3446935,0.020145561038904303,-1.5391785e-13,-2.8227625e-13,3.215129637552504e-13,-137,25
279,385116,3444077,0.020145561038904303,-8.587302199999999e-14,15.950558,15.950558,-137,25
